term,draw_time,front_1,front_2,front_3,front_4,front_5,back_1,back_2,pool_balance_after_draw,pool_balance,total_sale_amount,flow_fund,equipment_count,pdf_url,prize_1_count,prize_1_amount,prize_1_total,prize_1_extra_count,prize_1_extra_amount,prize_1_extra_total,prize_2_count,prize_2_amount,prize_2_total,prize_2_extra_count,prize_2_extra_amount,prize_2_extra_total,prize_3_count,prize_3_amount,prize_3_total,prize_4_count,prize_4_amount,prize_4_total,prize_5_count,prize_5_amount,prize_5_total,prize_6_count,prize_6_amount,prize_6_total,prize_7_count,prize_7_amount,prize_7_total
16073,2016-06-25,07,14,17,24,27,08,10,0,0,,,3,https://pdf.sporttery.cn/33800/16073/16073.pdf,9,"6,617,923","59,561,307",3,"3,970,753","11,912,259",216,"35,457","7,658,712",88,"21,274","1,872,112","1,261","2,350","2,963,350","34,119",200,"6,823,800","603,439",10,"6,034,390","5,406,014",5,"27,030,070",,,
16074,2016-06-27,01,05,07,11,14,03,08,0,0,,,2,https://pdf.sporttery.cn/33800/16074/16074.pdf,0,---,0,0,---,0,29,"308,116","8,935,364",5,"184,869","924,345",496,"6,273","3,111,408","20,538",200,"4,107,600","401,578",10,"4,015,780","4,317,133",5,"21,585,665",,,
16075,2016-06-29,03,07,17,22,31,08,12,0,0,,,2,https://pdf.sporttery.cn/33800/16075/16075.pdf,4,"9,256,229","37,024,916",1,"5,553,737","5,553,737",54,"163,291","8,817,714",19,"97,974","1,861,506",464,"7,237","3,357,968","18,761",200,"3,752,200","363,179",10,"3,631,790","3,703,774",5,"18,518,870",,,
16076,2016-07-02,03,08,10,17,31,05,06,0,0,,,3,https://pdf.sporttery.cn/33800/16076/16076.pdf,4,"9,767,946","39,071,784",0,---,0,51,"173,379","8,842,329",15,"104,027","1,560,405",660,"4,698","3,100,680","26,146",200,"5,229,200","498,818",10,"4,988,180","5,240,648",5,"26,203,240",,,
16077,2016-07-04,09,11,14,16,35,02,05,0,0,,,3,https://pdf.sporttery.cn/33800/16077/16077.pdf,1,"10,000,000","10,000,000",0,---,0,24,"362,071","8,689,704",5,"217,242","1,086,210",365,"8,570","3,128,050","19,200",200,"3,840,000","414,325",10,"4,143,250","4,354,167",5,"21,770,835",,,
16078,2016-07-06,07,18,29,31,35,05,11,"3,316,339,129.30",0,"176,031,216",,2,https://pdf.sporttery.cn/33800/16078/16078.pdf,1,"10,000,000","10,000,000",1,"6,000,000","6,000,000",48,"150,604","7,228,992",31,"90,362","2,801,222",483,"6,667","3,220,161","21,419",200,"4,283,800","410,658",10,"4,106,580","4,105,467",5,"20,527,335",,,
16079,2016-07-09,07,14,15,20,27,05,10,"3,335,784,172.26",0,"192,640,889",,3,https://pdf.sporttery.cn/33800/16079/16079.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",61,"145,812","8,894,532",23,"87,487","2,012,201",705,"4,858","3,424,890","24,520",200,"4,904,000","475,187",10,"4,751,870","4,457,174",5,"22,285,870",,,
16080,2016-07-11,15,20,29,30,33,07,12,"3,336,763,346",0,"173,241,722",,3,https://pdf.sporttery.cn/33800/16080/16080.pdf,4,"9,120,909","36,483,636",0,---,0,54,"133,795","7,224,930",22,"80,277","1,766,094",792,"3,472","2,749,824","29,716",200,"5,943,200","474,407",10,"4,744,070","4,453,326",5,"22,266,630",,,
16081,2016-07-13,06,07,18,21,33,03,08,"3,364,881,401.67",0,"171,324,058",,1,https://pdf.sporttery.cn/33800/16081/16081.pdf,1,"10,000,000","10,000,000",0,---,0,75,"94,118","7,058,850",37,"56,470","2,089,390",520,"5,367","2,790,840","24,496",200,"4,899,200","434,494",10,"4,344,940","4,419,139",5,"22,095,695",,,
16082,2016-07-16,03,08,23,28,29,02,07,"3,354,316,977.49",0,"189,939,641",,2,https://pdf.sporttery.cn/33800/16082/16082.pdf,6,"7,670,901","46,025,406",1,"4,602,540","4,602,540",76,"102,289","7,773,964",30,"61,373","1,841,190",806,"3,867","3,116,802","33,069",200,"6,613,800","549,051",10,"5,490,510","5,043,903",5,"25,219,515",,,
16083,2016-07-18,01,05,09,33,35,01,05,"3,337,317,109.38",0,"172,863,465",,3,https://pdf.sporttery.cn/33800/16083/16083.pdf,6,"7,073,427","42,440,562",2,"4,244,056","8,488,112",87,"71,429","6,214,323",45,"42,857","1,928,565",832,"3,153","2,623,296","33,222",200,"6,644,400","581,371",10,"5,813,710","4,961,716",5,"24,808,580",,,
16084,2016-07-20,08,12,15,26,35,01,08,"3,379,034,576.21",0,"168,397,590",,3,https://pdf.sporttery.cn/33800/16084/16084.pdf,0,---,0,0,---,0,35,"244,199","8,546,965",10,"146,519","1,465,190",366,"8,805","3,222,630","19,140",200,"3,828,000","353,232",10,"3,532,320","3,627,589",5,"18,137,945",,,
16085,2016-07-23,14,15,27,31,32,01,07,"3,154,382,762.05",0,"188,292,705",,3,https://pdf.sporttery.cn/33800/16085/16085.pdf,47,"5,355,451","251,706,197",4,"3,213,270","12,853,080",97,"76,135","7,385,095",48,"45,681","2,192,688",742,"4,090","3,034,780","30,289",200,"6,057,800","585,448",10,"5,854,480","5,002,569",5,"25,012,845",,,
16086,2016-07-25,03,05,22,25,30,07,09,"3,165,240,870.86",0,"170,252,092",,3,https://pdf.sporttery.cn/33800/16086/16086.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",45,"163,813","7,371,585",15,"98,287","1,474,305",458,"6,156","2,819,448","22,423",200,"4,484,600","468,970",10,"4,689,700","4,674,969",5,"23,374,845",,,
16087,2016-07-27,03,16,17,23,25,07,09,"3,178,408,229.18",0,"173,941,407",,3,https://pdf.sporttery.cn/33800/16087/16087.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",57,"138,645","7,902,765",18,"83,187","1,497,366",508,"6,052","3,074,416","22,832",200,"4,566,400","465,497",10,"4,654,970","4,424,330",5,"22,121,650",,,
16088,2016-07-30,04,06,17,21,30,06,11,"3,206,441,463.20",0,"191,906,681",,3,https://pdf.sporttery.cn/33800/16088/16088.pdf,1,"10,000,000","10,000,000",0,---,0,52,"157,378","8,183,656",10,"94,426","944,260",857,"3,475","2,978,075","36,237",200,"7,247,400","602,897",10,"6,028,970","5,513,854",5,"27,569,270",,,
16089,2016-08-01,07,14,17,28,34,07,10,"3,245,924,700.07",0,"173,986,818",,3,https://pdf.sporttery.cn/33800/16089/16089.pdf,0,---,0,0,---,0,57,"143,575","8,183,775",15,"86,145","1,292,175",566,"5,108","2,891,128","23,807",200,"4,761,400","452,710",10,"4,527,100","4,308,957",5,"21,544,785",,,
16090,2016-08-03,04,06,08,28,32,07,12,"3,277,357,768.85",0,"177,705,779",,3,https://pdf.sporttery.cn/33800/16090/16090.pdf,1,"10,000,000","10,000,000",0,---,0,40,"228,071","9,122,840",6,"136,842","821,052",475,"6,851","3,254,225","19,513",200,"3,902,600","419,034",10,"4,190,340","4,431,522",5,"22,157,610",,,
16091,2016-08-06,08,13,17,21,22,02,08,"3,290,154,296.34",0,"194,108,585",,3,https://pdf.sporttery.cn/33800/16091/16091.pdf,3,"10,000,000","30,000,000",0,---,0,43,"193,067","8,301,881",17,"115,840","1,969,280",537,"6,147","3,300,939","28,587",200,"5,717,400","511,089",10,"5,110,890","5,034,725",5,"25,173,625",,,
16092,2016-08-08,02,13,31,33,34,07,11,"3,311,199,962.86",0,"175,425,164",,3,https://pdf.sporttery.cn/33800/16092/16092.pdf,2,"10,000,000","20,000,000",0,---,0,44,"172,219","7,577,636",22,"103,331","2,273,282",383,"8,224","3,149,792","21,047",200,"4,209,400","437,267",10,"4,372,670","4,228,937",5,"21,144,685",,,
16093,2016-08-10,01,08,14,30,35,06,07,"3,305,502,727.35",0,"174,774,485",,3,https://pdf.sporttery.cn/33800/16093/16093.pdf,5,"8,033,290","40,166,450",0,---,0,104,"68,481","7,122,024",28,"41,088","1,150,464","1,033","2,641","2,728,153","36,400",200,"7,280,000","575,116",10,"5,751,160","4,882,258",5,"24,411,290",,,
16094,2016-08-13,01,14,16,17,18,05,07,"3,293,149,626.85",0,"193,668,600",,1,https://pdf.sporttery.cn/33800/16094/16094.pdf,7,"7,651,464","53,560,248",1,"4,590,878","4,590,878",47,"180,781","8,496,707",23,"108,468","2,494,764",449,"8,176","3,671,024","22,715",200,"4,543,000","444,868",10,"4,448,680","4,659,855",5,"23,299,275",,,
16095,2016-08-15,08,12,18,19,21,03,06,"3,296,613,494.39",0,"172,149,445",,1,https://pdf.sporttery.cn/33800/16095/16095.pdf,2,"9,779,074","19,558,148",2,"5,867,444","11,734,888",93,"71,663","6,664,659",39,"42,997","1,676,883",908,"2,961","2,688,588","33,254",200,"6,650,800","537,696",10,"5,376,960","4,764,356",5,"23,821,780",,,
16096,2016-08-17,01,06,08,12,21,05,10,"3,279,830,818.81",0,"176,201,944",,2,https://pdf.sporttery.cn/33800/16096/16096.pdf,5,"7,280,272","36,401,360",5,"4,368,163","21,840,815",63,"123,759","7,796,817",29,"74,255","2,153,395",483,"6,534","3,155,922","20,639",200,"4,127,800","396,662",10,"3,966,620","4,298,544",5,"21,492,720",,,
16097,2016-08-20,06,08,18,31,33,10,12,"3,318,516,210.70",0,"194,470,665",,3,https://pdf.sporttery.cn/33800/16097/16097.pdf,1,"10,000,000","10,000,000",0,---,0,55,"182,570","10,041,350",15,"109,542","1,643,130",537,"7,303","3,921,711","20,633",200,"4,126,600","404,619",10,"4,046,190","4,154,641",5,"20,773,205",,,
16098,2016-08-22,08,09,11,20,29,04,05,"3,309,928,561.74",0,"174,126,611",,1,https://pdf.sporttery.cn/33800/16098/16098.pdf,4,"7,630,986","30,523,944",2,"4,578,591","9,157,182",101,"56,705","5,727,205",51,"34,023","1,735,173","1,003","2,374","2,381,122","41,637",200,"8,327,400","669,836",10,"6,698,360","5,230,736",5,"26,153,680",,,
16099,2016-08-24,03,04,12,14,27,01,05,"3,337,125,371.10",0,"176,499,869",,1,https://pdf.sporttery.cn/33800/16099/16099.pdf,1,"10,000,000","10,000,000",1,"6,000,000","6,000,000",41,"229,363","9,403,883",7,"137,617","963,319",418,"8,060","3,369,080","18,079",200,"3,615,800","387,307",10,"3,873,070","4,008,015",5,"20,040,075",,,
16100,2016-08-27,08,12,19,26,30,02,12,"3,372,470,173.04",0,"194,558,808",,2,https://pdf.sporttery.cn/33800/16100/16100.pdf,1,"10,000,000","10,000,000",0,---,0,145,"67,260","9,752,700",28,"40,356","1,129,968",607,"5,685","3,450,795","24,284",200,"4,856,800","475,364",10,"4,753,640","4,693,457",5,"23,467,285",,,
16101,2016-08-29,04,06,28,33,35,07,12,"3,405,154,941.26",0,"176,690,621",,1,https://pdf.sporttery.cn/33800/16101/16101.pdf,1,"10,000,000","10,000,000",0,---,0,24,"379,420","9,106,080",5,"227,652","1,138,260",438,"7,667","3,358,146","20,852",200,"4,170,400","400,173",10,"4,001,730","4,018,871",5,"20,094,355",,,
16102,2016-08-31,03,05,06,34,35,03,12,"3,449,353,717.99",0,"177,794,219",,3,https://pdf.sporttery.cn/33800/16102/16102.pdf,0,---,0,0,---,0,55,"155,538","8,554,590",22,"93,322","2,053,084",448,"7,676","3,438,848","19,501",200,"3,900,200","374,444",10,"3,744,440","3,829,538",5,"19,147,690",,,
16103,2016-09-03,05,14,20,23,29,03,11,"3,461,843,842.38",0,"196,977,631",,3,https://pdf.sporttery.cn/33800/16103/16103.pdf,3,"10,000,000","30,000,000",0,---,0,76,"107,797","8,192,572",31,"64,678","2,005,018",861,"3,802","3,273,522","29,634",200,"5,926,800","570,276",10,"5,702,760","5,243,194",5,"26,215,970",,,
16104,2016-09-05,01,20,22,23,30,06,07,"3,475,855,899.77",0,"176,312,231",,3,https://pdf.sporttery.cn/33800/16104/16104.pdf,3,"10,000,000","30,000,000",0,---,0,46,"196,336","9,031,456",13,"117,801","1,531,413",369,"9,214","3,399,966","17,119",200,"3,423,800","365,694",10,"3,656,940","3,884,816",5,"19,424,080",,,
16105,2016-09-07,08,11,31,34,35,01,02,"3,509,923,337.40",0,"175,645,150",,3,https://pdf.sporttery.cn/33800/16105/16105.pdf,1,"10,000,000","10,000,000",0,---,0,55,"173,380","9,535,900",10,"104,028","1,040,280",366,"9,103","3,331,698","19,610",200,"3,922,000","356,684",10,"3,566,840","3,689,383",5,"18,446,915",,,
16106,2016-09-10,03,21,30,33,35,01,04,"3,493,879,603.26",0,"191,510,252",,1,https://pdf.sporttery.cn/33800/16106/16106.pdf,6,"7,312,443","43,874,658",3,"4,387,465","13,162,395",139,"52,781","7,336,559",79,"31,668","2,501,772",917,"3,553","3,258,101","30,406",200,"6,081,200","579,291",10,"5,792,910","5,074,254",5,"25,371,270",,,
16107,2016-09-12,02,06,19,24,26,04,06,"3,462,561,196.64",0,"174,509,999",,1,https://pdf.sporttery.cn/33800/16107/16107.pdf,7,"6,607,125","46,249,875",6,"3,964,275","23,785,650",44,"175,322","7,714,168",15,"105,193","1,577,895",745,"3,886","2,895,070","26,079",200,"5,215,800","470,718",10,"4,707,180","4,432,303",5,"22,161,515",,,
16108,2016-09-14,10,17,22,23,25,07,09,"3,437,657,318.35",0,"173,106,306",,2,https://pdf.sporttery.cn/33800/16108/16108.pdf,7,"6,542,310","45,796,170",2,"3,925,386","7,850,772",104,"50,797","5,282,888",53,"30,478","1,615,334",913,"2,510","2,291,630","40,111",200,"8,022,200","702,782",10,"7,027,820","5,784,842",5,"28,924,210",,,
16109,2016-09-17,03,25,28,31,34,11,12,"3,466,514,047.74",0,"193,626,665",,3,https://pdf.sporttery.cn/33800/16109/16109.pdf,2,"10,000,000","20,000,000",0,---,0,50,"198,739","9,936,950",15,"119,243","1,788,645",406,"9,328","3,787,168","17,817",200,"3,563,400","396,822",10,"3,968,220","4,187,404",5,"20,937,020",,,
16110,2016-09-19,07,20,21,23,30,07,10,"3,442,910,758.46",0,"179,311,987",,1,https://pdf.sporttery.cn/33800/16110/16110.pdf,8,"6,772,123","54,176,984",1,"4,063,273","4,063,273",72,"92,985","6,694,920",29,"55,791","1,617,939",860,"3,221","2,770,060","34,454",200,"6,890,800","605,286",10,"6,052,860","5,300,033",5,"26,500,165",,,
16111,2016-09-21,04,09,22,26,27,02,12,"3,467,679,525.40",0,"181,731,808",,2,https://pdf.sporttery.cn/33800/16111/16111.pdf,1,"10,000,000","10,000,000",1,"6,000,000","6,000,000",92,"86,588","7,966,096",35,"51,952","1,818,320",513,"6,360","3,262,680","25,638",200,"5,127,600","508,125",10,"5,081,250","4,577,284",5,"22,886,420",,,
16112,2016-09-24,07,22,23,31,32,04,05,"3,502,750,201.33",0,"199,351,193",,2,https://pdf.sporttery.cn/33800/16112/16112.pdf,1,"10,000,000","10,000,000",0,---,0,64,"130,955","8,381,120",31,"78,573","2,435,763",432,"8,114","3,505,248","23,795",200,"4,759,000","506,403",10,"5,064,030","5,194,650",5,"25,973,250",,,
16113,2016-09-26,10,11,17,30,34,03,12,"3,515,191,923.33",0,"177,637,883",,3,https://pdf.sporttery.cn/33800/16113/16113.pdf,3,"10,000,000","30,000,000",0,---,0,56,"149,794","8,388,464",20,"89,876","1,797,520",341,"9,619","3,280,079","18,721",200,"3,744,200","413,645",10,"4,136,450","4,244,879",5,"21,224,395",,,
16114,2016-09-28,16,17,20,32,33,03,07,"3,502,839,877.72",0,"173,340,048",,2,https://pdf.sporttery.cn/33800/16114/16114.pdf,6,"7,458,089","44,748,534",1,"4,474,853","4,474,853",32,"240,465","7,694,880",8,"144,279","1,154,232",513,"5,472","2,807,136","24,714",200,"4,942,800","476,485",10,"4,764,850","4,873,031",5,"24,365,155",,,
16115,2016-10-01,01,04,15,31,34,02,11,"3,547,923,720.07",0,"188,778,020",,3,https://pdf.sporttery.cn/33800/16115/16115.pdf,0,---,0,0,---,0,43,"229,239","9,857,277",7,"137,543","962,801",416,"8,773","3,649,568","21,717",200,"4,343,400","430,034",10,"4,300,340","4,453,434",5,"22,267,170",,,
16116,2016-10-03,04,06,08,19,34,10,12,"3,566,017,216.24",0,"157,717,027",,1,https://pdf.sporttery.cn/33800/16116/16116.pdf,2,"10,000,000","20,000,000",0,---,0,22,"357,126","7,856,772",6,"214,275","1,285,650",736,"3,816","2,808,576","20,998",200,"4,199,600","338,502",10,"3,385,020","3,485,519",5,"17,427,595",,,
16117,2016-10-05,03,09,14,16,23,02,09,"3,557,096,623.84",0,"159,626,154",,2,https://pdf.sporttery.cn/33800/16117/16117.pdf,5,"7,676,957","38,384,785",1,"4,606,174","4,606,174",36,"200,413","7,214,868",8,"120,247","961,976",532,"4,784","2,545,088","26,249",200,"5,249,800","451,057",10,"4,510,570","4,235,887",5,"21,179,435",,,
16118,2016-10-08,12,15,18,24,29,03,11,"3,571,935,089.08",0,"195,629,351",,2,https://pdf.sporttery.cn/33800/16118/16118.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",123,"65,868","8,101,764",43,"39,520","1,699,360","1,194","2,704","3,228,576","32,371",200,"6,474,200","606,721",10,"6,067,210","5,337,065",5,"26,685,325",,,
16119,2016-10-10,02,03,09,21,22,05,10,"3,569,855,994.48",0,"175,765,163",,3,https://pdf.sporttery.cn/33800/16119/16119.pdf,4,"8,573,445","34,293,780",1,"5,144,067","5,144,067",98,"87,730","8,597,540",7,"52,638","368,466",631,"4,334","2,734,754","25,168",200,"5,033,600","469,991",10,"4,699,910","4,969,500",5,"24,847,500",,,
16120,2016-10-12,03,10,20,32,34,04,07,"3,565,337,019.44",0,"177,521,772",,3,https://pdf.sporttery.cn/33800/16120/16120.pdf,5,"8,218,445","41,092,225",0,---,0,45,"170,108","7,654,860",11,"102,064","1,122,704",665,"4,467","2,970,555","26,976",200,"5,395,200","519,186",10,"5,191,860","5,182,758",5,"25,913,790",,,
16121,2016-10-15,04,05,08,15,20,01,06,"3,559,509,834.29",0,"196,550,154",,3,https://pdf.sporttery.cn/33800/16121/16121.pdf,5,"8,110,981","40,554,905",1,"4,866,588","4,866,588",67,"128,067","8,580,489",12,"76,840","922,080",907,"3,455","3,133,685","34,425",200,"6,885,000","611,783",10,"6,117,830","5,671,941",5,"28,359,705",,,
16122,2016-10-17,01,03,12,14,29,02,06,"3,603,748,957.96",0,"178,700,027",,1,https://pdf.sporttery.cn/33800/16122/16122.pdf,0,---,0,0,---,0,39,"229,813","8,962,707",12,"137,887","1,654,644",591,"5,139","3,037,149","18,425",200,"3,685,000","378,724",10,"3,787,240","3,973,046",5,"19,865,230",,,
16123,2016-10-19,04,05,13,20,32,01,10,"3,651,778,795.10",0,"179,976,965",,1,https://pdf.sporttery.cn/33800/16123/16123.pdf,0,---,0,0,---,0,74,"139,892","10,352,008",14,"83,935","1,175,090",361,"10,183","3,676,063","15,149",200,"3,029,800","322,219",10,"3,222,190","3,361,315",5,"16,806,575",,,
16124,2016-10-22,04,13,24,26,29,08,11,"3,693,174,707.28",0,"191,410,193",,1,https://pdf.sporttery.cn/33800/16124/16124.pdf,0,---,0,0,---,0,36,"233,216","8,395,776",11,"139,929","1,539,219",497,"6,568","3,264,296","26,688",200,"5,337,600","508,539",10,"5,085,390","5,280,979",5,"26,404,895",,,
16125,2016-10-24,06,07,08,28,30,01,02,"3,727,254,222.34",0,"179,128,075",,2,https://pdf.sporttery.cn/33800/16125/16125.pdf,1,"10,000,000","10,000,000",0,---,0,76,"105,159","7,992,084",41,"63,095","2,586,895",566,"6,044","3,420,904","18,884",200,"3,776,800","389,230",10,"3,892,300","4,001,616",5,"20,008,080",,,
16126,2016-10-26,11,13,16,19,24,06,08,"3,727,343,868.72",0,"176,733,833",,3,https://pdf.sporttery.cn/33800/16126/16126.pdf,4,"8,943,883","35,775,532",1,"5,366,329","5,366,329",47,"171,203","8,046,541",18,"102,721","1,848,978",729,"4,203","3,063,987","24,571",200,"4,914,200","428,491",10,"4,284,910","4,137,629",5,"20,688,145",,,
16127,2016-10-29,01,05,15,24,26,09,10,"3,747,064,984.52",0,"192,473,077",,3,https://pdf.sporttery.cn/33800/16127/16127.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",28,"368,223","10,310,244",3,"220,933","662,799",450,"7,494","3,372,300","20,318",200,"4,063,600","428,573",10,"4,285,730","4,719,072",5,"23,595,360",,,
16128,2016-10-31,17,20,22,30,33,07,08,"3,742,471,490.10",0,"178,307,590",,3,https://pdf.sporttery.cn/33800/16128/16128.pdf,5,"8,206,736","41,033,680",0,---,0,87,"86,762","7,548,294",23,"52,057","1,197,311",599,"4,671","2,797,929","26,803",200,"5,360,600","548,546",10,"5,485,460","5,235,658",5,"26,178,290",,,
16129,2016-11-02,07,08,19,30,35,08,09,"3,745,975,912.37",0,"180,262,598",,2,https://pdf.sporttery.cn/33800/16129/16129.pdf,3,"9,693,425","29,080,275",1,"5,816,055","5,816,055",91,"86,455","7,867,405",26,"51,873","1,348,698",714,"3,917","2,796,738","29,747",200,"5,949,400","525,594",10,"5,255,940","4,759,358",5,"23,796,790",,,
16130,2016-11-05,11,23,32,33,34,01,12,"3,722,891,036.08",0,"200,057,806",,3,https://pdf.sporttery.cn/33800/16130/16130.pdf,10,"7,114,758","71,147,580",0,---,0,64,"147,130","9,416,320",24,"88,278","2,118,672",657,"5,402","3,549,114","28,941",200,"5,788,200","469,606",10,"4,696,060","4,329,571",5,"21,647,855",,,
16131,2016-11-07,06,13,25,28,30,02,07,"3,705,987,913.84",0,"172,418,049",,1,https://pdf.sporttery.cn/33800/16131/16131.pdf,6,"7,083,984","42,503,904",2,"4,250,390","8,500,780",89,"73,205","6,515,245",38,"43,923","1,669,074","1,211","2,218","2,685,998","34,300",200,"6,860,000","545,151",10,"5,451,510","4,923,266",5,"24,616,330",,,
16132,2016-11-09,04,18,19,22,35,01,02,"3,726,472,243.16",0,"180,524,624",,2,https://pdf.sporttery.cn/33800/16132/16132.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",38,"243,586","9,256,268",13,"146,151","1,899,963",891,"3,420","3,047,220","17,811",200,"3,562,200","349,888",10,"3,498,880","3,635,290",5,"18,176,450",,,
16133,2016-11-12,01,04,05,23,28,05,09,"3,724,999,633.06",0,"203,224,114",,1,https://pdf.sporttery.cn/33800/16133/16133.pdf,4,"8,706,060","34,824,240",2,"5,223,636","10,447,272",38,"238,903","9,078,314",10,"143,341","1,433,410",617,"5,405","3,334,885","27,830",200,"5,566,000","537,575",10,"5,375,750","5,637,399",5,"28,186,995",,,
16134,2016-11-14,01,03,31,32,34,02,07,"3,741,306,383.48",0,"185,722,161",,2,https://pdf.sporttery.cn/33800/16134/16134.pdf,3,"10,000,000","30,000,000",0,---,0,53,"163,435","8,662,055",25,"98,061","2,451,525",441,"8,185","3,609,585","19,476",200,"3,895,200","384,603",10,"3,846,030","4,043,425",5,"20,217,125",,,
16135,2016-11-16,01,10,12,18,35,01,12,"3,770,081,323.99",0,"187,947,049",,3,https://pdf.sporttery.cn/33800/16135/16135.pdf,2,"10,000,000","20,000,000",0,---,0,59,"185,221","10,928,039",7,"111,132","777,924","1,162","2,728","3,169,936","19,642",200,"3,928,400","349,494",10,"3,494,940","3,655,177",5,"18,275,885",,,
16136,2016-11-19,05,06,07,19,23,04,11,"3,791,740,200.73",0,"204,254,202",,2,https://pdf.sporttery.cn/33800/16136/16136.pdf,2,"10,000,000","20,000,000",0,---,0,425,"15,144","6,436,200",392,"9,086","3,561,712","1,239","2,355","2,917,845","34,463",200,"6,892,600","596,394",10,"5,963,940","5,858,509",5,"29,292,545",,,
16137,2016-11-21,07,20,23,29,34,02,10,"3,807,220,445.90",0,"181,006,344",,1,https://pdf.sporttery.cn/33800/16137/16137.pdf,2,"10,000,000","20,000,000",0,---,0,63,"119,261","7,513,443",14,"71,556","1,001,784",766,"3,582","2,743,812","34,941",200,"6,988,200","604,177",10,"6,041,770","5,256,234",5,"26,281,170",,,
16138,2016-11-23,12,13,16,29,35,05,11,"3,826,489,199.90",0,"179,140,283",,1,https://pdf.sporttery.cn/33800/16138/16138.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",39,"226,343","8,827,377",15,"135,805","2,037,075",402,"8,556","3,439,512","17,273",200,"3,454,600","358,405",10,"3,584,050","3,833,830",5,"19,169,150",,,
16139,2016-11-26,13,21,30,31,35,01,08,"3,864,958,511.07",0,"200,772,078",,2,https://pdf.sporttery.cn/33800/16139/16139.pdf,1,"10,000,000","10,000,000",0,---,0,42,"225,438","9,468,396",16,"135,262","2,164,192",504,"7,554","3,807,216","21,410",200,"4,282,000","449,471",10,"4,494,710","4,710,661",5,"23,553,305",,,
16140,2016-11-28,12,16,23,29,34,04,11,"3,845,393,921.81",0,"188,081,802",,3,https://pdf.sporttery.cn/33800/16140/16140.pdf,9,"7,220,551","64,984,959",0,---,0,121,"79,106","9,571,826",28,"47,463","1,328,964",855,"4,185","3,578,175","25,605",200,"5,121,000","429,003",10,"4,290,030","4,139,371",5,"20,696,855",,,
16141,2016-11-30,02,06,07,19,28,11,12,"3,857,570,669.90",0,"193,465,971",,1,https://pdf.sporttery.cn/33800/16141/16141.pdf,2,"10,000,000","20,000,000",2,"6,000,000","12,000,000",91,"105,391","9,590,581",16,"63,234","1,011,744",752,"4,340","3,263,680","25,698",200,"5,139,600","510,226",10,"5,102,260","4,769,966",5,"23,849,830",,,
16142,2016-12-03,01,06,17,23,26,06,12,"3,899,078,594.62",0,"208,883,904",,3,https://pdf.sporttery.cn/33800/16142/16142.pdf,1,"10,000,000","10,000,000",0,---,0,51,"206,031","10,507,581",15,"123,618","1,854,270",560,"7,409","4,149,040","22,854",200,"4,570,800","441,679",10,"4,416,790","4,651,501",5,"23,257,505",,,
16143,2016-12-05,04,06,22,27,31,06,07,"3,904,182,884.57",0,"188,839,857",,2,https://pdf.sporttery.cn/33800/16143/16143.pdf,3,"10,000,000","30,000,000",1,"6,000,000","6,000,000",59,"145,073","8,559,307",15,"87,043","1,305,645",678,"4,382","2,970,996","25,932",200,"5,186,400","522,246",10,"5,222,460","5,090,274",5,"25,451,370",,,
16144,2016-12-07,04,05,13,22,31,05,10,"3,914,443,711.99",0,"191,810,527",,3,https://pdf.sporttery.cn/33800/16144/16144.pdf,3,"10,000,000","30,000,000",0,---,0,75,"113,410","8,505,750",17,"68,046","1,156,782","1,465","1,892","2,771,780","33,585",200,"6,717,000","534,475",10,"5,344,750","5,241,525",5,"26,207,625",,,
16145,2016-12-10,01,09,11,17,28,03,08,"3,913,126,519.29",0,"209,502,660",,2,https://pdf.sporttery.cn/33800/16145/16145.pdf,4,"8,669,836","34,679,344",0,---,0,224,"24,515","5,491,360",171,"14,709","2,515,239","1,338","1,977","2,645,226","54,409",200,"10,881,800","835,887",10,"8,358,870","7,112,834",5,"35,564,170",,,
16146,2016-12-12,21,22,25,29,34,01,11,"3,915,756,735.85",0,"191,944,792",,3,https://pdf.sporttery.cn/33800/16146/16146.pdf,4,"9,377,831","37,511,324",1,"5,626,698","5,626,698",56,"182,464","10,217,984",7,"109,478","766,346",553,"6,503","3,596,159","24,027",200,"4,805,400","451,785",10,"4,517,850","4,451,941",5,"22,259,705",,,
16147,2016-12-14,07,19,20,28,30,04,12,"3,791,177,687.77",0,"186,538,144",,1,https://pdf.sporttery.cn/33800/16147/16147.pdf,22,"5,356,179","117,835,938",9,"3,213,707","28,923,363",413,"15,000","6,195,000",122,"9,000","1,098,000","3,323","1,500","4,984,500","78,533",200,"15,706,600","963,093",10,"9,630,930","6,500,120",5,"32,500,600",,,
16148,2016-12-17,05,14,15,23,25,06,08,"3,806,985,330.35",0,"210,580,973",,3,https://pdf.sporttery.cn/33800/16148/16148.pdf,3,"10,000,000","30,000,000",0,---,0,70,"136,062","9,524,340",18,"81,637","1,469,466",798,"4,700","3,750,600","31,590",200,"6,318,000","602,756",10,"6,027,560","5,550,515",5,"27,752,575",,,
